publishedAt,authorDisplayName,textDisplay,likeCount;;;;;;;;;
"2023-05-09T11:03:23Z,Nyoman Wirawan,""Pimpinan partai sibuk dgn capres-capresan, lupa dgn tugas utamanya yaitu menyejahterakan rakya. Buktinya undang2 penyitaan aset masih ter-tunda2.<br>Bagaimana ya kita barter apabila undang2 penyitaan aset tdk diundangkan rakyat tdk memilih apapun di th 2024 😂😂😂 Rakyat pasti setuju!! Agar kuroptor mati tdk spt sekarang dok pahlawan."",0";;;;;;;;;
2023-05-09T09:58:40Z,Bima Dewa,Prabowo masa lalu anies masa depan ganjar masa bodo,0;;;;;;;;;
2023-05-09T09:32:59Z,jihan falisha,pak ganjar 👍,0;;;;;;;;;
2023-05-09T08:16:06Z,Pain Tendo,Apakah diantara mereka ada yg berpidato tentang hukum mati koruptor?<br><b>Serius nanya</b>,1;;;;;;;;;
"2023-05-09T07:09:46Z,Much. Faisal Hafiz,""ANTARA ANIS ATAU PRABOWO AJA DEH, BUKAN DARI YG MERAH"",2";;;;;;;;;
2023-05-09T08:16:31Z,Pain Tendo,Takut diseruduk ya bg 🗿,1;;;;;;;;;
"2023-05-09T06:32:24Z,mannnnnn,""Kalo bener 4 capres bakal maju, rakyat indonesia bakal banjir cuan saat masa pemilu😂"",0";;;;;;;;;
"2023-05-09T06:22:59Z,Ex Despair,""selama mak banteng masih mentereng, susah buat yang laen."",0";;;;;;;;;
2023-05-09T06:07:44Z,Yogi Ramadhan,Presiden harus orang Jawa asli ganjar pranowo orang Jawa bukan orang keturunan,0;;;;;;;;;
2023-05-09T08:18:07Z,Pain Tendo,Lu kira dinegara indo cuma ada suku jawa?<br>Cuma karna jadi mayoritas harus selalu jadi penguasa gitu?<br>Ternyata jawa egois ya,1;;;;;;;;;
2023-05-09T08:17:00Z,Pain Tendo,Si paling jawa,1;;;;;;;;;
2023-05-09T05:39:35Z,Faderu produksi,Siapa aja boleh jadi presiden asal bukan salah satu dari kalangan berikut:<br>- non-pribumi<br>- produk orde baru<br>- kalangan militer<br>- pro-khilafah<br>- pelanggar HAM<br><br>Selebihnya siapa aja boleh!,1;;;;;;;;;
2023-05-09T04:55:50Z,Dhori Khan,mau 100 capres kek Anis tetap pilihanku,0;;;;;;;;;
2023-05-09T04:53:30Z,Rukmi Hidayati,Yg penting orang pribumi,0;;;;;;;;;
"2023-05-09T04:24:30Z,Mas Fa,""Mana nih UAS PRESIDEN, HRD WAPRES"",0";;;;;;;;;
"2023-05-09T03:35:46Z,Edi Parmo,""Insyaallah kami sekeluarga besar pilih Anies Rasyid Baswedan. <br>Amanah, cerdas dan berani."",2";;;;;;;;;
2023-05-09T03:24:03Z,Suparlan Segaran,Sayangnya p.ganjar adalah petugas partai PDIP.,0;;;;;;;;;
2023-05-09T08:18:58Z,Pain Tendo,Jadi anak emak banteng yg baru,1;;;;;;;;;
2023-05-09T03:12:02Z,Ham Dani,Semoga pdip gatot,0;;;;;;;;;
"2023-05-09T02:22:22Z,DARING XII MM2,""pokoknya jangan lihat partai ,lihatlah orangnya ,bersih kerja keras ,tidak punya kasus , baik kasus Kadrun kasus jam kasus korupsi dan kasus grup teroris ,biar negara utuh tidak keropos kaya timur tengah ,Yaman Turki Afganistan , sehat selalu man Ganjar ,manstaaaaaabbb!!"",0";;;;;;;;;
2023-05-09T02:17:59Z,Algiver Channel,Ayo partai mana yg mau ahok.... Auto jadi thu.... Semoga...,0;;;;;;;;;
2023-05-09T01:33:51Z,Roky Dong,Mending langsunh di tunjuk aja.. Percuma lawan si culas... Istqna aja jadi posko pemenangan,0;;;;;;;;;
